X,Y,OBJECTID,Site_ID,Location,SiteDescription
333848.1805,6246665.9904,1,2,Botany Road,Between Bourke Street and Hansard Street
331528.339,6247510.7067,2,3,King Street,Between Whitehorse Street and Newman Street
335060.3495,6250341.8916,3,4,William Street,Between Crown Street and Palmer Street
332445.5838,6248374.6592,4,5,City Road,Between Carillon Avenue and Forbes Street
333326.7975,6249206.0849,5,6,Broadway,Between Buckland Street and Abercrombie Street
333823.9004,6249286.0458,6,7,Railway Square,Between Quay Street and Harris Street
333516.9201,6249702.803,7,8,Harris Street,Between Macarthur Street and Mary Ann Street
333375.281,6249971.1026,8,9,Harris Street,Between Quarry Street and William Henry Street
333189.463,6250341.569,9,10,Harris Street,Between Allen Street and Fig Street
332893.9293,6250925.4213,10,11,Harris Street,Between John Street and Miller Street
333990.1234,6248269.4697,11,12,Redfern Street,Between Pitt Street and Chalmers Street
333650.1074,6248318.7948,12,13,Redfern Street,Between Renwick Street and Cope Street
333821.0356,6248296.4222,13,14,Redfern Street,Between George Street and Pitt Street
334991.6698,6248392.2973,14,15,Cleveland Street,Between Bourke Street and South Dowling Street
333969.4836,6248822.5176,15,16,Prince Alfred Park,Along main pedestrian path by tennis courts
334436.529,6248533.5802,16,17,Cleveland Street,Between Wilton Street and Riley Street
336344.6201,6248952.9548,17,18,Oxford Street,Between Newcombe Street and Elizabeth Street
336016.7149,6249173.4112,18,19,Oxford Street,Between Ormond Street and Underwood Street
334895.8364,6249559.2106,19,20,Crown Street,Between Reservoir Street and Campbell Street
335870.4071,6250517.6975,20,21,Darlinghust Road,Between Baroda Street and Barncleuth Square
335647.141,6250801.685,21,22,Victoria Street,Between Challis Avenue and Hughes Street
335609.2219,6250516.1789,22,23,Victoria Street,Between Orwell Street and Earl Place
335667.7927,6250382.3533,23,24,Darlinghust Road,Between Bayswater Road and Roselyn Street
335279.604,6249832.8491,24,25,Burton Street,Between Darley Street and Forbes Street
335534.4708,6250090.0155,25,26,Victoria Street,Between Craigend Street and Surrey Street
335474.4107,6250066.9119,26,27,Darlinghurst Road,Between Farrell Avenue and Tewkesbury Avenue
334236.3238,6251726.2792,27,28,George Street,Between Alfred Street and Essex Street
334267.4152,6252014.4198,28,29,Argyle Street,Between Harrington Street and George Street
334284.3155,6251850.3072,29,30,George Street,Between Argyle Street and Alfred Street
334184.0288,6251613.2399,30,31,George Street,Between Grosvenor Street and Essex Street
334156.9698,6251023.6838,31,32,George Street,Between Martin Place and King Street
334181.4673,6251380.5659,32,33,George Street,Between Bond Street and Curtin Place
334313.4197,6251771.0643,33,34,Alfred Street,Between George Street and Pitt Street
334199.9403,6250946.1977,34,35,King Street,Between George Street and Pitt Street Mall
334171.3887,6251237.6446,35,36,George Street,Between Martin Place and Hunter Street
334208.2086,6250728.3261,36,37,Market Street,Between George Street and Pitt Street
334152.9281,6250846.286,37,38,George Street,Between King Street and Market Street
334315.8281,6250461.017,38,39,Park Street,Between Pitt Street and Castlereagh Street
334078.7609,6250503.8796,39,40,Druitt Street,Between Clarence Street and York Street
334039.2126,6249842.472,40,41,George Street,Between Goulburn Street and Campbell Street
334115.1114,6250173.6757,41,42,George Street,Between Central Street and Liverpool Street
334156.5409,6250395.8159,42,43,George Street,Between Park Street and Bathurst Street
334065.0566,6249992.9395,43,44,George Street,Between Goulburn Street and Liverpool Street
334006.3079,6249688.6626,44,45,George Street,Between Barlow Street and Hay Street
334072.2278,6249717.5775,45,46,Hay Street,Between Parker Lane and Parker Street
334274.7911,6250794.955,46,47,Pitt Street Mall,Between King Street and Market Street
334464.7166,6250862.5023,47,48,Elizabeth Street,Between King Street and Market Street
334679.4373,6251985.5986,48,49,Circular Quay,"By Oz Jet Boating, Circular Quay East"
334214.6687,6250471.1677,49,50,Park Street,Between George Street and Pitt Street
334398.0095,6250452.3142,50,51,Park Street,Between Castlereagh Street and Elizabeth Street
334406.308,6250188.1175,51,52,Elizabeth Street,Between Liverpool Street and Bathurst Street
332175.299,6249914.6923,52,53,Glebe Point Road,Between Wigram Road and Hereford Street
332299.1973,6249729.7134,53,54,Glebe Point Road,Between Bridge Road and Marlborough Street
332446.2403,6249545.2625,54,55,Glebe Point Road,Between St Johns Road and Norton Street
332641.398,6249386.8004,55,56,Glebe Point Road,Between Mitchell Street and Cowper Street
332825.4687,6249242.0761,56,57,Glebe Point Road,Between Francis Street and Broadway
333029.29,6249090.5694,57,58,City Road,Between Broadway and Myrtle Street
334368.9502,6252545.3138,58,59,Harbour Bridge,"South end, pedestrian path"
332012.6345,6248145.5969,59,60,King Street,Between Stephen Street and Missenden Street
333763.5718,6248353.1777,60,61,George Street,Between Wells Street and Redfern Street
333717.5928,6248039.8902,61,62,George Street,Between Albert Street and Phillip Street
334023.7717,6246990.734,62,63,Bourke Street,Between Elizabeth Street and George Street
334707.9633,6248358.3707,63,64,Baptist Street,Between Cleveland Street and Boronia Lane
334788.033,6248777.5487,64,65,Crown Street,Between Devonshire Street and Davies Street
334868.9074,6249350.6241,65,66,Crown Street,Between Jesmond Street and Albion Street
335162.291,6249618.8499,66,67,Oxford Street,Between Flinders Street and Darlinghurst Road
334694.7996,6250021.6119,67,68,Oxford Street,Between College Street and Brisbane Street
334337.8465,6249308.7157,68,69,Foveaux Street,Between Terry Street and Elizabeth Street
334758.7186,6250394.2562,69,70,William Street,Between College Street and Yurong Street
335345.0365,6250291.5977,70,71,William Street,Between Forbes Street and Dowling Street
335638.4558,6250195.1162,71,72,Kings Cross Road,Between Ward Avenue and Victoria Street
336540.0394,6248646.3607,72,73,Moore Park Road,Between Cook Road and Lang Road
335437.6416,6249402.1381,73,74,Oxford Street,Between Greens Road and Verona Road
331621.6544,6247726.7929,74,75,King Street,Between Australia Street and Eliza Street
332986.9436,6250744.9855,75,76,Harris Street,Between Miller Street and Pyrmont Bridge Road
332802.683,6250752.6813,76,77,Miller Street,Between Miller Lane and Jones Street
333086.6738,6249877.3218,77,78,Wattle Street,Between Quarry Street and William Henry Street
333300.8909,6250079.4391,78,79,Quarry Street,Between Harris Street and Kirk Street
333282.8661,6250802.3815,79,80,Pyrmont Bridge Road,Between Harwood Street and Murray Street
332599.0822,6249715.6363,80,81,St Johns Road,Between Broughton Street and Colbourne Avenue
331925.4087,6249256.5692,81,82,St Johns Road,Between Ross Street and Short Street
333126.2258,6249192.8627,82,83,Broadway,Between Mountain Street and Bay Street
333937.9096,6250492.8642,83,84,Druitt Street,Between Sussex Street and Kent Street
334422.146,6250370.9919,84,85,Elizabeth Street,Between Park Street and Bathurst Street
336207.1812,6250151.7932,85,86,Bayswater Road,Between Mclachlan Avenue and Neild Avenue
336202.4956,6250080.1638,86,87,Craigend Street,Between Mclachlan Avenue and Neild Avenue
334897.2062,6249836.4032,87,88,Oxford Street,Between Riley Street and Crown Street
331858.3862,6246535.7523,88,89,Princess Highway,Between Goodsell and May Street
331840.6979,6246755.9732,89,90,King Street,Between Bray Street and Concord Street
331707.8893,6247059.4726,90,91,King Street,Between Angel Street and Union Street
333910.6788,6246909.9105,91,92,Bourke Street,Between Portman Street and Botany Road
332551.6555,6249154.0717,92,93,Arundel Street,Between Derwent Street and Seamer Street
331523.79,6250512.7366,93,94,Rozelle Bay,Walking path at Jubilee Park
332296.8599,6250416.9132,94,95,Glebe Foreshore Walk,"East side, opposite Griffith Place"
335038.4301,6247895.972,95,96,South Dowling Street,Between Crescent Street and Maddison Street
335175.9129,6248717.6049,96,97,South Downling Street,Between Nobbs Street and Arthur Street
335517.4614,6248964.4885,97,98,Moore Park Road,Between Greens Road and Driver Avenue
336145.4828,6248716.5904,98,99,Moore Park Road,Between Regent Street and Poate Road
333736.4999,6246729.4934,99,100,O'Riordan Street,Between Johnson Street and Botany Road
333830.4468,6247430.5483,100,101,George Street,Between McEvoy Street and John Street
334160.509,6250618.528,101,102,George Street,Between Market Street and Park Street
334184.7327,6249074.3124,102,103,Chalmers Street,Intersection of Chalmers Street and  Devonshire Street
334163.0082,6251132.0878,103,104,George Street,Intersection of George Street and Wynyard Street
334094.559,6250101.5222,104,105,George Street,Intersection of George Street and Liverpool Street
334224.1442,6251087.1585,105,106,Martin Place,Between Pitt Street and George Street
334355.3778,6251074.4585,106,107,Martin Place,Between Castlereagh Street and Pitt Street
335352.8361,6250927.9654,107,108,Cowper Wharf Road,Between Bourke Street and Dowling Street
334608.8184,6251323.1082,108,109,Bent Street,"South side, between Macquarie Street and Phillip Street"
334734.9852,6250785.7295,109,110,St James Road,"North side, between Hospital Road and Macquarie Street"
334197.9262,6248088.1502,110,111,Elizabeth Street,"West side, between Redfern Street and Phillip Street"
335685.8851,6250121.2981,111,112,Craigend Road,"South side, between Nimrod Street and Surry Street"
331968.7431,6246506.8986,112,113,Sydney Park,Sydney Park
334477.2477,6250492.2737,113,115,Hyde Park,Near corner of Park Street and Elizabeth Street
334505.0122,6251733.2035,114,116,Customs House Forecourt,Customs House Forecourt
334528.4993,6251646.0337,115,117,Young Street,Between Alfred Street and Bridge Street
334393.5817,6251529.531,116,118,Bridge Street,Between Loftus Street and Pitt Street
334138.7438,6251352.6187,117,119,Margaret Street,Between George Street and Carrington Street
333919.6067,6251344.2013,118,120,Margaret Street,Between Clarence Street and Kent Street
334057.6275,6251025.7987,119,121,York Street,Between Barrack Street and King Street
333939.4655,6251169.9825,120,122,Erskine Street,Between Clarence Street and Kent Street
