OBJECTID,SiteID,Location,Description,Period,Year,Month,TotalCount,DateFilter,Time_0600,Time_0700,Time_0800,Time_0900,Time_1000,Time_1100,Time_1200,Time_1300,Time_1400,Time_1500,Time_1600,Time_1700,Time_1800,Time_1900,Time_2000,Time_2100,Time_2200,Time_2300
6760,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2013,Spring,3504,2013 - Weekday - October,186,216,582,258,126,42,30,36,78,96,258,462,372,294,234,174,36,24
6761,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2013,Spring,834,2013 - Weekend - October,24,78,72,36,84,66,42,54,30,24,54,90,60,18,42,24,30,6
6762,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2014,Autumn,3300,2014 - Weekday - May,168,300,504,336,132,42,36,48,150,156,306,522,198,138,132,84,24,24
6763,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2014,Spring,2844,2014 - Weekday - October,78,204,204,114,90,84,300,66,126,264,282,540,162,162,54,54,42,18
6764,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2014,Autumn,1134,2014 - Weekend - May,54,78,108,72,78,72,66,132,114,126,78,24,48,30,12,12,18,12
6765,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2014,Spring,780,2014 - Weekend - October,24,30,78,72,48,72,66,84,12,66,42,42,18,54,36,0,12,24
6766,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2015,Autumn,5802,2015 - Weekday - March,402,846,882,300,222,204,180,102,240,396,462,468,636,246,84,96,12,24
6767,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2015,Spring,1236,2015 - Weekday - October,42,30,30,36,96,36,90,114,60,66,102,102,90,24,36,42,144,96
6768,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2015,Autumn,4392,2015 - Weekend - March,24,120,120,156,252,372,366,294,312,222,270,396,288,348,198,222,240,192
6769,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2015,Spring,7260,2015 - Weekend - October,78,174,396,312,528,402,492,438,396,462,480,714,444,642,540,318,312,132
6770,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2016,Autumn,1038,2016 - Weekday - March,24,24,54,48,36,48,78,66,54,90,84,60,30,24,42,72,96,108
6771,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2016,Spring,1164,2016 - Weekday - October,36,42,54,48,36,54,60,72,42,102,108,42,48,66,54,90,84,126
6772,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2016,Autumn,7518,2016 - Weekend - March,150,300,402,474,486,474,474,462,456,558,678,618,558,522,402,264,144,96
6773,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2016,Spring,7344,2016 - Weekend - October,150,270,414,522,432,468,546,456,486,558,558,540,516,486,456,246,150,90
6774,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2017,Autumn,876,2017 - Weekday - March,6,18,12,18,36,42,42,42,54,66,66,66,42,42,54,66,96,108
6775,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2017,Spring,6096,2017 - Weekday - October,252,582,810,516,174,174,192,156,168,300,564,792,684,372,114,120,102,24
6776,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2017,Autumn,7284,2017 - Weekend - March,102,246,378,594,474,378,528,390,462,480,570,618,666,558,468,186,132,54
6777,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2017,Spring,2256,2017 - Weekend - October,42,60,78,132,180,120,138,210,240,186,222,144,138,120,90,96,18,42
6778,2,Botany Road,Between Bourke Street and Hansard Street,weekday,2019,Autumn,1440,2019 - Weekday - March,36,48,66,60,72,108,96,108,102,132,150,138,114,66,48,30,36,30
6779,2,Botany Road,Between Bourke Street and Hansard Street,weekend,2019,Autumn,1836,2019 - Weekend - March,42,138,78,96,102,42,120,198,126,240,162,102,222,48,42,18,36,24
6780,3,King Street,Between Whitehorse Street and Newman Street,weekday,2013,Spring,8652,2013 - Weekday - October,786,468,468,330,312,546,486,708,768,816,768,480,606,438,228,300,102,42
6781,3,King Street,Between Whitehorse Street and Newman Street,weekend,2013,Spring,7452,2013 - Weekend - October,48,108,114,156,570,408,480,510,600,636,420,558,552,582,456,570,300,384
6782,3,King Street,Between Whitehorse Street and Newman Street,weekday,2014,Autumn,6414,2014 - Weekday - May,102,216,270,246,402,432,420,312,384,540,498,588,672,480,486,222,120,24
6783,3,King Street,Between Whitehorse Street and Newman Street,weekday,2014,Spring,9888,2014 - Weekday - October,78,378,540,450,552,348,582,444,696,414,588,594,996,1116,798,456,678,180
6784,3,King Street,Between Whitehorse Street and Newman Street,weekend,2014,Autumn,12498,2014 - Weekend - May,12,150,246,318,426,792,774,660,792,708,804,1080,966,1290,1326,1476,468,210
6785,3,King Street,Between Whitehorse Street and Newman Street,weekend,2014,Spring,11568,2014 - Weekend - October,66,216,402,462,510,606,774,726,768,720,822,588,888,648,852,1056,876,588
6786,3,King Street,Between Whitehorse Street and Newman Street,weekday,2015,Autumn,10974,2015 - Weekday - March,102,318,804,816,438,690,528,684,786,798,690,642,822,768,540,606,594,348
6787,3,King Street,Between Whitehorse Street and Newman Street,weekday,2015,Spring,2856,2015 - Weekday - October,36,36,72,276,234,174,168,168,186,132,192,168,138,234,168,162,204,108
6788,3,King Street,Between Whitehorse Street and Newman Street,weekend,2015,Autumn,17328,2015 - Weekend - March,54,66,390,570,930,1080,918,1380,966,1044,1476,1500,2034,1710,978,984,726,522
6789,3,King Street,Between Whitehorse Street and Newman Street,weekend,2015,Spring,13224,2015 - Weekend - October,30,150,198,408,582,714,948,1122,846,888,1020,756,870,1266,1134,930,720,642
6790,3,King Street,Between Whitehorse Street and Newman Street,weekday,2016,Autumn,2676,2016 - Weekday - March,24,66,168,222,162,156,186,174,132,144,162,162,192,180,162,168,126,90
6791,3,King Street,Between Whitehorse Street and Newman Street,weekday,2016,Spring,2838,2016 - Weekday - October,54,78,174,186,174,168,174,174,150,150,126,192,198,216,198,180,168,78
6792,3,King Street,Between Whitehorse Street and Newman Street,weekend,2016,Autumn,14220,2016 - Weekend - March,96,234,450,660,810,966,1116,1014,966,1032,924,1002,1242,1164,906,744,558,336
6793,3,King Street,Between Whitehorse Street and Newman Street,weekend,2016,Spring,13830,2016 - Weekend - October,84,234,462,564,792,1128,978,990,924,876,948,1026,1122,1116,876,684,672,354
6794,3,King Street,Between Whitehorse Street and Newman Street,weekday,2017,Autumn,2586,2017 - Weekday - March,12,72,150,168,174,150,174,192,162,156,144,180,174,228,162,120,120,48
6795,3,King Street,Between Whitehorse Street and Newman Street,weekday,2017,Spring,8982,2017 - Weekday - October,126,300,402,456,378,390,396,480,540,468,462,744,954,876,726,582,396,306
6796,58,City Road,Between Broadway and Myrtle Street,weekday,2015,Autumn,9822,2015 - Weekday - March,90,216,408,498,558,558,1122,810,870,564,774,684,510,612,558,564,246,180
6797,3,King Street,Between Whitehorse Street and Newman Street,weekend,2017,Autumn,13296,2017 - Weekend - March,42,240,492,528,876,1002,1062,924,954,774,696,978,1170,912,984,672,666,324
6798,3,King Street,Between Whitehorse Street and Newman Street,weekend,2017,Spring,14418,2017 - Weekend - October,24,138,222,402,492,666,708,954,1008,1026,918,1218,1230,1170,1062,1128,1200,852
6799,3,King Street,Between Whitehorse Street and Newman Street,weekday,2019,Autumn,10698,2019 - Weekday - March,162,234,630,726,492,582,630,576,630,582,540,720,1044,918,894,606,324,408
6800,3,King Street,Between Whitehorse Street and Newman Street,weekend,2019,Autumn,14892,2019 - Weekend - March,54,42,180,486,744,720,1026,1278,984,1236,1044,816,924,1530,1068,1272,888,600
6801,4,William Street,Between Crown Street and Palmer Street,weekday,2013,Spring,12270,2013 - Weekday - October,114,288,1008,726,666,558,810,990,504,702,474,900,1182,1062,792,648,558,288
6802,4,William Street,Between Crown Street and Palmer Street,weekend,2013,Spring,4584,2013 - Weekend - October,54,84,162,150,222,324,174,234,306,240,204,216,354,444,342,360,342,372
6803,4,William Street,Between Crown Street and Palmer Street,weekday,2014,Autumn,11214,2014 - Weekday - May,156,372,948,792,582,618,690,762,642,576,696,900,1338,774,516,420,198,234
6804,4,William Street,Between Crown Street and Palmer Street,weekday,2014,Spring,16326,2014 - Weekday - October,222,882,1332,1032,594,690,738,990,654,960,1086,1722,2070,1326,912,648,264,204
6805,4,William Street,Between Crown Street and Palmer Street,weekend,2014,Autumn,8706,2014 - Weekend - May,66,192,210,318,582,564,666,678,660,588,504,510,636,504,576,600,612,240
6806,4,William Street,Between Crown Street and Palmer Street,weekend,2014,Spring,11772,2014 - Weekend - October,108,192,372,516,690,954,654,822,630,1014,288,936,1098,798,684,972,684,360
6807,4,William Street,Between Crown Street and Palmer Street,weekday,2015,Autumn,9126,2015 - Weekday - March,258,1110,876,306,246,450,570,516,336,558,552,756,828,468,318,390,306,282
6808,4,William Street,Between Crown Street and Palmer Street,weekday,2015,Spring,2364,2015 - Weekday - October,24,42,162,210,96,150,114,180,162,144,120,120,120,144,132,222,102,120
